OrderDate	Ref	DeliveryDate	OrderQty	DeliveryQty	LokadNetAmount	IsClosed	PONumber
2019-02-23	12572752	2019-03-22	25	10	584	true	P-0249500230
2019-02-23	10132892	2019-03-20	28	28	583	true	P-0249500221
2019-02-23	10678449	2019-03-22	38	38	579	true	P-0249500210
2019-02-23	10132892	2019-02-27	27	27	562	true	P-0249500221
2019-02-23	11045096	2019-04-16	33	33	560	true	P-0249500224
2019-02-23	12572098	2019-04-11	30	30	544	true	P-0249500224
2019-02-23	11045096	2019-04-19	32	32	542	true	P-0249500224
2019-02-23	11711150	2019-04-05	30	30	1041	true	P-0249500184
2019-02-23	14404386	2019-04-08	18	18	501	true	P-0249500221
2019-02-23	13985896	2019-04-18	24	24	488	true	P-0249500221
2019-02-23	15519926	2019-04-12	20	20	476	true	P-0249500224
2019-02-23	15808622	2019-03-28	24	24	459	true	P-0249500221
2019-02-23	12787016	2019-03-30	25	25	439	true	P-0249500230
2019-02-23	12572098	2019-04-21	24	24	432	true	P-0249500224
2019-02-23	10095232	2019-04-10	34	34	415	true	P-0249500227
2019-02-23	11711636	2019-04-27	68	68	797	true	P-0249500216
2019-02-23	14693335	2019-03-15	25	25	394	true	P-0249500221
2019-02-23	10099950	2019-04-13	26	26	392	true	P-0249500224
2019-02-23	15410849	2019-04-14	15	15	387	true	P-0249500216
2019-02-23	14339722	2019-04-08	19	19	370	true	P-0249500221
2019-02-23	16412231	2019-04-12	66	66	723	true	P-0249500227
2019-02-23	11914966	2019-04-12	52	52	698	true	P-0249500227
2019-02-23	13107618	2019-04-13	16	16	350	true	P-0249500224
2019-02-23	14099484	2019-02-27	24	24	340	true	P-0249500221
2019-02-23	12564089	2019-04-04	24	24	325	true	P-0249500230
2019-02-23	11097836	2019-04-12	29	29	331	true	P-0249500210
2019-02-23	15416092	2019-03-18	32	32	324	true	P-0249500216
2019-02-23	14548487	2019-03-10	26	26	314	true	P-0249500221
2019-02-23	13452029	2019-05-02	26	26	610	true	P-0249500216
2019-02-23	13594853	2019-04-23	27	27	296	true	P-0249500221
2019-02-23	12572098	2019-04-09	17	17	300	true	P-0249500224
2019-02-23	13856231	2019-03-25	15	15	293	true	P-0249500210
2019-02-23	11800905	2019-03-19	68	68	572	true	P-0249500227
2019-02-23	15416092	2001-01-01	28	0	282	false	P-0249500216
2019-02-23	14113811	2019-04-23	26	26	276	true	P-0249500221
2019-02-23	14339722	2019-02-28	14	14	267	true	P-0249500221
2019-02-23	13944445	2019-04-13	14	14	262	true	P-0249500184
2019-02-23	10099950	2019-04-24	18	2	266	true	P-0249500224
2019-02-23	13060917	2019-03-11	17	17	264	true	P-0249500216
2019-02-23	15034737	2019-04-11	12	12	260	true	P-0249500224
2019-02-23	10678449	2019-04-05	17	17	251	true	P-0249500210
2019-02-23	15410849	2019-03-13	10	10	249	true	P-0249500216
2019-02-23	14289423	2019-03-28	10	10	244	true	P-0249500221
2019-02-23	11045096	2019-04-18	15	15	245	true	P-0249500224
2019-02-23	12564089	2019-03-18	17	17	227	true	P-0249500230
2019-02-23	12572752	2019-03-28	10	10	219	true	P-0249500230
2019-02-23	12703703	2019-03-25	32	32	219	true	P-0249500230
2019-02-23	16595101	2019-03-31	48	48	433	true	P-0249500230
2019-02-23	15416092	2019-03-21	22	22	220	true	P-0249500216
2019-02-23	14404386	2019-04-23	8	8	207	true	P-0249500221
2019-02-23	10764226	2019-03-25	26	26	206	true	P-0249500210
2019-02-23	13944445	2019-04-01	11	11	202	true	P-0249500184
2019-02-23	10095232	2019-03-23	17	9	202	true	P-0249500227
2019-02-23	12409642	2019-03-07	18	18	399	true	P-0249500227
2019-02-23	14693335	2019-04-16	13	13	197	true	P-0249500221
2019-02-23	13060917	2019-03-30	13	13	198	true	P-0249500216
2019-02-23	13985896	2019-03-20	10	10	191	true	P-0249500221
